BESTDATE,BESTSTAT,NAMEADDR,Alias,LANDUSE,CASENO,PLNDESC,BPAPPLNO,DBIDESC,FirstFiled,COST,PROPUSE,APN,EntitlementStatus,NEIGHBORHOOD,PLANAREA,PLANDISTRICT,SUPDIST,ZONING,ZONEDISTRICTNAME,HEIGHTLIMIT,UNITS,UNITSNET,AFFORDABLE,AFFORDABLE_NET,RETAILCOMM_EXISTING,RETAILCOMM_PROPOSED,RETAILCOMM_NET,OFFICE_EXISTING,OFFICE_PROPOSED,OFFICE_NET,INDUSTRIAL_EXISTING,INDUSTRIAL_PROPOSED,INDUSTRIAL_NET,MEDICAL_EXISTING,MEDICAL_PROPOSED,MEDICAL_NET,VISITOR_EXISTING,VISITOR_PROPOSED,VISITOR_NET,CIE_EXISTING,CIE_PROPOSED,CIE_NET,SPONSOR,CONTACT,CONTACTPH,PLANNER,LOCATION
09/03/2015,PL FILED,630 NATOMA ST,,Resident,2015-009485PRJ,"Proposed demolition of existing 1-story over basement office/storage building and construction of a (N) 4-story, 3-unit condominium over 2-car parking garage. Rear yard setback.",,,07/27/2015,$0.00,,APN 3727049,0,South of Market,Western SoMa (EN); South of Market,Downtown,SUPERVISORIAL DISTRICT 6,RED,SOUTH OF MARKET RESIDENTIAL ENCLAVE,40-X,3,3,0,0,0,0,0,2620,0,-2620,0,0,0,0,0,0,0,0,0,0,0,0,Couture Architecture,Scott Couture,(415) 482-02,,"(37.7779362288, -122.410816)"
10/08/2014,PL FILED,633 FOLSOM ST,,MIPS,2014.1063,"The proposed project is to construct a four-story addition, containing 93,852 square feet of office uses, to an existing seven-story building containing 174,693 square feet of office uses and 1,100 square feet of ground-floor retail uses. The ground-floo",,,10/08/2014,$18057165.00,,APN 3750079,0,South of Market,Yerba Buena; Central SoMa; Downtown,South of Market,SUPERVISORIAL DISTRICT 6,C-3-S,DOWNTOWN SUPPORT,200-S,0,0,0,0,1100,3368,2268,174693,264497,89804,0,0,0,0,0,0,0,0,0,0,0,0,Deborah Boyer,John Kevlin,415 567 9000,KGUY,"(37.7844712067, -122.397181)"
07/02/2015,BP FILED,6335 03RD ST,,Resident,2015-009148PRJ,,201507020528,Multiple Permits,07/02/2015,$400000.00,APARTMENTS,APN 4968036,0,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7202892387, -122.396224)"
09/16/2015,PL FILED,636 - 648 04TH ST,,Resident,2015-003880PRJ,"Demolish two existing one and two story commercial buildings and general advertising billboard.  Construct 350 foot tall primarily residential tower with 427 units and ground floor commercial space.  The project would provide 119 parking spaces, and 3,16",,,09/16/2015,$0.00,,APN 3786035,0,South of Market,Central SoMa; East SoMa (EN); South of Market,South of Market,SUPERVISORIAL DISTRICT 6,MUO,MIXED USE-OFFICE,85-X,392,392,0,0,9390,4450,-4940,5000,0,-5000,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7777277367, -122.396241)"
01/22/2016,BP Filed,636 CAROLINA ST,,Resident,2015-014795PRJ,,201601227749,"ADDITION OF 1 DWELLING UNIT, NEW 2ND&3RD STORY VERTICAL ADDITION, REAR YARD HORIZONTAL ADDITION, EXP",01/22/2016,$50000.00,2 FAMILY DWELLING,APN 4071006,0,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7605135472, -122.400523)"
04/30/2014,BP FILED,6423 CALIFORNIA ST,,Resident,,,201404304602,(E) 2ND FLOOR RESIDENTIAL UNIT OVER 1ST FLOOR VACANT COMMERCIAL SPACE. CONVERT 1ST FLOOR COMMERCIAL,04/30/2014,$115000.00,2 FAMILY DWELLING,APN 1407046,0,Outer Richmond,,Richmond,SUPERVISORIAL DISTRICT 1,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7835675940, -122.486511)"
12/31/2015,PL FILED,6424 3RD ST / 1088 KEY AV,,Mixres,2014.1058,"Demolish 1.5 story commercial structure, currently used as a funeral home, and construct four-story building with 17 residential units over 2,121 sf retail and 17 parking spaces on ground floor.",201512316257,TO ERECT 4 STORIES OF 17 DWELLING UNITS WITH COMMERCIAL ON GROUND FLOOR - MAHER ORDINANCE - EXTENDED,07/03/2014,$0.00,APARTMENTS,APN 5470002,0,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,17,17,0,0,3600,2121,-1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Victor Quan,Victor Quan,531-8311,SMENDRIN,"(37.7198496609, -122.397168)"
01/11/2013,BP FILED,645 20TH AV,,Resident,2013.0033,Demo & reconstruction 2 dwelling units,201301117743,2 STORY VERTICAL ADDITION TO (E) BUILDING. HORIZONTAL ADDITION AT REAR. INTERIOR REMODELING & CONVER,01/09/2013,$500000.00,2 FAMILY DWELLING,APN 1624005B,-1,Outer Richmond,,Richmond,SUPERVISORIAL DISTRICT 1,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gabriel  Ng,Gabriel  Ng,415-682-8060,GHILYARD,"(37.7756776967, -122.479372)"
04/01/2016,CONSTRUCTION,645 DUNCAN ST,,Resident,2012.0680,Remodel including interior and exterior work; excavation greater than 20 ft to install new foundation and construct new garage,201111179087,"TO ERECT 3 STORIES WITH 1 BASEMENT, SINGLE FAMILY DWELLING.",11/17/2011,$600000.00,1 FAMILY DWELLING,APN 6604039,-1,Noe Valley,,Central,SUPERVISORIAL DISTRICT 8,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7454070534, -122.434245)"
05/20/2015,BP ISSUED,645 FAXON AV,,Resident,,,201408184086,LEGALIZE IN LAW UNIT PER ORDINANCE 43-14 ON 1ST FLOOR PER PLAN. LEGALIZE KITCHEN ON 1ST FLOOR PER PL,08/18/2014,$35000.00,2 FAMILY DWELLING,APN 3191004,-1,West of Twin Peaks,,Ingleside,SUPERVISORIAL DISTRICT 7,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",28-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7253459459, -122.460148)"
03/01/2016,CONSTRUCTION,685 FLORIDA ST,,Resident,2012.1312,"6 story, 4 dwelling units, 68 foot height",201209200274,"ERECT 6 STORIES, TYPE 3, 4 RESIDENTIAL APTS BUILDING.",09/20/2012,$1100000.00,APARTMENTS,APN 4022022,-1,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,UMU,URBAN MIXED USE,68-X,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7607075057, -122.410678)"
02/09/2016,BP FILED,655 FOLSOM ST,,Mixres,2013.0253,"The property is currently occupied by a two-story commercial building occupied by a restaurant.  The project will include demolition of the existing building and construction of a new 13 story mixed use building including 84 dwelling units, ground floor",201602099171,,03/01/2013,$0.00,APARTMENTS,APN 3750050,0,South of Market,Central SoMa; East SoMa (EN),South of Market,SUPERVISORIAL DISTRICT 6,MUR,MIXED USE-RESIDENTIAL,130-G,84,84,0,0,13421,1900,-11521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7843741481, -122.397774)"
12/04/2015,BP FILED,645 HARRISON ST,,MIPS,2013.1545,"Office allocation change of use in an existing 147,976 sf building. Change of use of34,840 sf from light industrial to office. Existing 113,136 office remains office.",201511021472,"CHANGE OF USE FROM (E) S-2 PARKING & STORAGE BUILDING TO A B-OFFICE BUILDING, SCOPE INCLUDES CONSTRUCTION OF (N) MEZZANINE & STAIRS, (N) STORE FRONT GLAZING, (N) WINDOW REPLACEMENT OF (E) WINDOWS AND SIDEWALK IMPROVEMENT. N/A ORDINANCE# 155-13",10/24/2013,$350000.00,OFFICE,APN 3763105,-1,South of Market,Central SoMa; East SoMa (EN); South of Market,South of Market,SUPERVISORIAL DISTRICT 6,SSO,SOMA SERVICE/ SECONDARY/ OFFICE,40-X,0,0,0,0,0,0,0,113136,147976,34840,34840,0,-34840,0,0,0,0,0,0,0,0,0,,,,KDURANDE,"(37.7833825747, -122.395713)"
03/03/2016,PL FILED,645 PERALTA AV,,Resident,2015-001162PRJ,Convert an existing single family home into a 2 unit dwelling and new rear construction.,,,03/03/2016,$0.00,,APN 5634013,0,Bernal Heights,,Bernal Heights,SUPERVISORIAL DISTRICT 9,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jamie Pratt,415-867-5357,AHUISMAN,"(37.7424570023, -122.408581)"
03/29/2016,CONSTRUCTION,645 TEXAS ST,1300 22ND ST,Resident,2012.1218,"The proposed project would construct a new 4-story, 94 unit residential project over 64 off-street parking spaces. The proposed building would be 4 stories and 45 feet in height.",201312093691,ERECT 5-STORY TYPE-V NEW RESIDENTIAL BUILDING.,05/09/2013,$25000000.00,,APN 4102026,-1,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,MUR,MIXED USE-RESIDENTIAL,40-X,94,94,11,11,0,0,0,10000,0,-10000,20000,0,-20000,0,0,0,0,0,0,0,0,0,Peter & Daniel Cliff,Christopher Davenport,925 309-2503,DSANCHEZ,"(37.7579634101, -122.394572)"
01/30/2014,PL FILED,645 VALENCIA ST,,Mixres,2013.1339,The proposed project would construct a new mixed use commercial/residential building and demolition an existing commercial building. The new building would be 55 feet tall with 868 square-feet of ground floor commercial; 5 residential parking spaces; and,,,01/30/2014,$3248429.00,,APN 3576062,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,NCT-VALENCIA,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,55-X,9,9,0,0,5250,868,-4382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Toby Morris,Edward Morris,415-749-0302,TSHEYNER,"(37.7624999196, -122.421373)"
07/18/2014,BP FILED,647 DUNCAN ST,,Resident,,,201407181635,"ERECT 3 STORIES , ONE SINGLE FAMILY.",07/18/2014,$500000.00,1 FAMILY DWELLING,APN 6604038,0,Noe Valley,,Central,SUPERVISORIAL DISTRICT 8,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7454018988, -122.434331)"
12/03/2015,PL FILED,650 ANDOVER ST,,CIE,2015-015866PRJ,Conversion of one dwelling unit to a Community Facility.,,,12/03/2015,$0.00,,APN 5744001,0,Bernal Heights,,Bernal Heights,SUPERVISORIAL DISTRICT 9,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,Quickdraw Permit Consulting,,4155521888,EWATTY,"(37.7355022080, -122.417046)"
08/26/2014,PL FILED,650 DIVISADERO ST,,Resident,2013.1037,Existing 1-story auto repair warehouse building to be partially demolished in which part a 5-story 9-unit residential condominium building to be built.  The remaining portion of the building to be remodeled into 3 independent commercial  2 restaurants an,,,08/26/2014,$5000000.00,,APN 1202002B,0,Western Addition,,Western Addition,SUPERVISORIAL DISTRICT 5,NCT-DIVISADERO,DIVISADERO STREET NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,65-A,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warner Schmalz,Warner Schmalz,415-252-7063,SLAI,"(37.7757418183, -122.437588)"
12/24/2014,BP ISSUED,650 INDIANA ST (BLDG 1 OF 2),660 INDIANA ST,Resident,2012.1574,"The proposed project includes demolition of the existing structures on the project site and construction of an approximately 114,700 sf building with 111 residential units and approximately 1,900 sf of ground-floor neighborhood-serving retail uses. The p",201312244989,"ERECT 5 STORIES, 60 DWELLING UNITS.",12/24/2013,$60000.00,AUTO REPAIR,APN 4041009,-1,Potrero Hill,Central Waterfront (EN),South of Market,SUPERVISORIAL DISTRICT 10,UMU,URBAN MIXED USE,58-X,60,60,16,16,0,1417,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,DSANCHEZ,"(37.7621478304, -122.391862)"
03/17/2016,CONSTRUCTION,650 INDIANA ST (BLDG 2 OF 2),680 INDIANA ST,Resident,2012.1574,"The proposed project includes demolition of the existing structures on the project site and construction of an approximately 114,700 sf building with 111 residential units and approximately 1,900 sf of ground-floor neighborhood-serving retail uses. The p",201312244992,TO ERECT 5 STORIES OF 51 DWELLING UNITS WITH ASSEMBLY/PARKING,12/21/2012,$0.00,APARTMENTS,APN 4041009,-1,Potrero Hill,Central Waterfront (EN),South of Market,SUPERVISORIAL DISTRICT 10,UMU,URBAN MIXED USE,58-X,51,51,16,16,0,1417,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,DSANCHEZ,"(37.7621478304, -122.391862)"
10/14/2015,PL FILED,651 - 655 GEARY ST,,Resident,2014.0482,"The proposed project is to construct a 13-story, 130-foot tall mixed use building. The existing building on the 7,008 square foot subject lot was demolished recently (Case No. 2012.0628E)  The proposed new building would include 47 dwelling units, 28 par",,,04/01/2014,$0.00,,APN 0318020,0,Downtown/Civic Center,,Downtown,SUPERVISORIAL DISTRICT 6,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",80-T-130-T,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7863441501, -122.413955)"
04/03/2015,PL APPROVED,701 TARAVAL ST,,Mixres,2014.0864,Variance request to the parking requirement of P.C. Sec. 145 for the demolition of a commercial structure with the reconstruction of a multi-use commercial/residential building with 3 res / 1 commercial.,,,06/06/2014,$1200000.00,,APN 2408001,-1,Parkside,,Inner Sunset,SUPERVISORIAL DISTRICT 7,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,3,3,0,0,1896,1536,-360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rita Hui,My My Ly,415-682-8060,TCHANG,"(37.7428890057, -122.473713)"
10/23/2015,BP FILED,657 VALENCIA ST,,Resident,2015-015680PRJ,,201510230626,ERECT 5 STORIES OF 4 DWELLING UNIT . TYPE 5,12/01/2015,$0.00,APARTMENTS,APN 3576061,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,NCT-VALENCIA,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,55-X,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7624177673, -122.421365)"
10/10/2013,PL APPROVED,658 - 666 SHOTWELL ST,,Mixres,2010.0101,Expand residential care facility from 29 to 30 rooms w/in existing building.  Construct new single-family residence.,,,02/18/2010,$390000.00,,APN 3611062,-1,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2757,2757,0,Larry Mateo,C. Steven Swason,415.297.1946,EOROPEZA,"(37.7578281854, -122.416001)"
11/30/2015,CONSTRUCTION,658 03RD AV,,Resident,,,200711198515,Vertical extension to convert a 2 story + attic single family residential building by adding one sto,11/19/2007,$300000.00,2 FAMILY DWELLING,APN 1642036,-1,Inner Richmond,,Richmond,SUPERVISORIAL DISTRICT 1,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7762910124, -122.460387)"
12/18/2015,BP FILED,658 ELIZABETH ST,,Resident,,,201512185544,LEGALIZE ACCESSORY DWELLING UNIT UNDER ORDINANCE 43-14.,12/18/2015,$10000.00,APARTMENTS,APN 2804017,0,Noe Valley,,Central,SUPERVISORIAL DISTRICT 8,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7522575708, -122.435520)"
03/26/2013,BP FILED,659 GUERRERO ST,,Resident,2013.1705,,201303263083,"1/FL:ADD 1 BR,1 BA,1 FAM RM&STAIRS TO 2/FL.
2/FL:ADJUST BEDRM SIZE&ADD INTERIOR STAIRS TO 1/FL.
3/FL",03/26/2013,$200000.00,APARTMENTS,APN 3588056,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 8,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,45-X,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7606495194, -122.423404)"
02/23/2016,CONSTRUCTION,66 COOK ST,,Resident,,,201411171684,REAR HORIZONTAL ADDITION OF 2 LIVING LEVELS. ADD INTERNAL STAIRCASE. ADD SMALL KITCHEN & BATH DOWNST,11/17/2014,$125000.00,2 FAMILY DWELLING,APN 1067028,-1,Presidio Heights,,Richmond,SUPERVISORIAL DISTRICT 2,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7826086869, -122.451979)"
10/06/2015,PL FILED,"667 FOLSOM ST, 120 HAWTHORNE ST, 126 HAWTHORNE ST",,Mixres,2015-002604PRJ,"The proposal entails demolition of 126 Hawthorne Street, a 2 story concrete building and 667 Folsom Street, a 2 story concrete building.  The 19,589 square foot project site comprises three adjoining rectangular lots.  Following demolition, the proposal",,,03/04/2015,$0.00,,APN 3750082,0,South of Market,Central SoMa; East SoMa (EN),South of Market,SUPERVISORIAL DISTRICT 6,MUR,MIXED USE-RESIDENTIAL,130-G,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EQR-Soma II LP, a Delaware limited",,4157677188,,"(37.7842209801, -122.397631)"
04/01/2016,CONSTRUCTION,668 23RD AV,,Resident,,,201405135633,3RD STORY VERTICAL ADDITION OF 1085 SQ.FT. WITH 2 BEDROOMS & 2 BATHS. HORIZONTAL ADDITION @ REAR OF,05/13/2014,$120000.00,2 FAMILY DWELLING,APN 1622025,-1,Outer Richmond,,Richmond,SUPERVISORIAL DISTRICT 1,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7751731983, -122.481902)"
03/18/2016,BP Filed,668 GUERRERO ST,,Resident,2016-004057PRJ,,201603182471,"TO ERECT 4 STORIES, NO BASEMENT, 3 UNITS RESIDENTIAL BUILDING.
** MAHER: DISTURBANCE OF AT LEAST 50",03/18/2016,$1900000.00,APARTMENTS,APN 3587011,0,Mission,,Mission,SUPERVISORIAL DISTRICT 8,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7604478569, -122.424004)"
02/22/2016,BP ISSUED,672 37TH AV,,Resident,,,201503312337,LEGALIZE IN-LAW UNIT @ 1ST FLOOR PER ORDINANCE# 43-14. ADD 2 NEW BEDROOMS & 1 BATHROOM.,03/31/2015,$7000.00,APARTMENTS,APN 1579017D,-1,Outer Richmond,,Richmond,SUPERVISORIAL DISTRICT 1,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7762863159, -122.497033)"
03/07/2013,BP FILED,680 SPRUCE ST,,Resident,2013.0978,"Two-story vertical addition to a two-story, 2,809 sf single-family home to create a 5,775 sf two-family home; renovate front facade; add front decks at 3rd and 4th floors; add one ground-floor parking space.",201303071745,RENOVATION OF (E) SINGLE FAM RESIDENCE TO CREATE (N) 2 FAMILY RESIDENCES VERTICAL ADDITION OF TWO AD,03/07/2013,$563000.00,2 FAMILY DWELLING,APN 1066030,-1,Presidio Heights,,Richmond,SUPERVISORIAL DISTRICT 2,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7823056209, -122.452972)"
08/20/2012,BP FILED,69 GARCIA AV,,Resident,2005.1042,"To construct a new single-family dwelling on a vacant lot.  Due to slope of the lot, the new dwelling will be 4-stories over a garage in the front and 2-stories in the rear in an RH-1(D) district.",201208207720,"TO ERECT 4 STORIES, SINGLE FAMILY DWELLING BUILIDNG.",02/01/2006,$250000.00,1 FAMILY DWELLING,APN 2936A001D,-1,West of Twin Peaks,,Inner Sunset,SUPERVISORIAL DISTRICT 7,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7440061093, -122.459291)"
09/01/2015,BP ISSUED,735 CLAYTON ST,,Resident,,,201308225028,"LEGALIZING (E) UNIT @ TOP FL TO COMPLY W/ NOV 201228902, INTERIOR REMODEL @ ALL FLOORS, POST REMOVE",08/22/2013,$250000.00,APARTMENTS,APN 1253009,-1,Haight Ashbury,,Buena Vista,SUPERVISORIAL DISTRICT 5,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7681356246, -122.448578)"
06/17/2009,PL APPROVED,690 05TH ST,,Visitor,2006.0091,"Proposed project would demolish the existing office building and its associated parking and construct a new 75 room hotel and 5,000 cafe/bar. The building would be approximately 65 feet in height , 46,000 sq. ft. and would include 27 below-grade parking",,,01/24/2006,$7500000.00,,APN 3785003,-1,South of Market,Central SoMa; Western SoMa (EN); South of Market,South of Market,SUPERVISORIAL DISTRICT 6,WMUO,WSOMA MIXED USE-OFFICE,85-X,0,0,0,0,0,5000,5000,13500,0,-13500,0,0,0,0,0,0,0,41000,41000,0,0,0,Mark Seiler,Circe Sher,538-7012,,"(37.7753480043, -122.397676)"
06/30/2015,BP APPROVED,690 MARKET ST,,Visitor,2013.1601,,201412194144,CONSTRUCT DEMISING WALLS FOR 5 DWELLING UNITS & INTERIOR FIT-OUT @ 2ND FLOOR. 5TH FLR: CONVERT 5 HOT,12/19/2014,$4750000.00,TOURIST HOTEL/MOTEL,APN 0311016,-1,Financial District,Downtown,Downtown,SUPERVISORIAL DISTRICT 3,C-3-O,DOWNTOWN- OFFICE,285-S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70135,31570,-38565,0,0,0,,,,KBURNS,"(37.7882479777, -122.403232)"
12/11/2015,CONSTRUCTION,690 PAGE ST,,Resident,2012.0909,"The proposal is to demolish the existing single-story, non-residential building and construct four, three-unit residential buildings. The project includes subdivision of the corner lot into four parcels.",201305217457,Multiple Permits,05/21/2013,$2600000.00,APARTMENTS,APN 0843016,-1,Western Addition,,Buena Vista,SUPERVISORIAL DISTRICT 5,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,12,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,0,-2048,,,,CLAMOREN,"(37.7730643607, -122.432032)"
02/19/2016,BP FILED,690 TENNESSEE ST,,Resident,2016-002809PRJ,,201602190032,CHANGE OF USE FROM 2-STORY WAREHOUSE TO 3-STORY 2-UNIT RESIDENTIAL,03/01/2016,$0.00,2 FAMILY DWELLING,APN 3996006,0,Potrero Hill,Central Waterfront (EN),South of Market,SUPERVISORIAL DISTRICT 10,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7631639138, -122.390061)"
05/08/2015,BP FILED,7 EDGAR AV,,Resident,2015-006551PRJ,,201505085770,CONSTRUCT (N) 2-STORY SINGLE FAMILY DWELLING UNIT,05/08/2015,$280000.00,1 FAMILY DWELLING,APN 6978075,0,Ocean View,,Ingleside,SUPERVISORIAL DISTRICT 11,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7205952289, -122.452454)"
05/15/2013,BP ISSUED,70 CRESTLINE DR,,Resident,2012.0859,To subdivide the existing lot into two lots and construct a new four-family dwelling on the proposed vacant lot.,200908255545,"TO ERECT 4 STORY TYPE 5, 5 DWELLING UNITS",08/25/2009,$1000000.00,APARTMENTS,APN 2845005,-1,Twin Peaks,,Central,SUPERVISORIAL DISTRICT 8,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7515802796, -122.445910)"
04/01/2016,BP APPROVED,700 36TH AV,,Mixres,2009.0653,,200809262781,TO ERECT 6 DWELLING UNIT WITH FOUR STORY NEW BLDG.(COMMERCIAL AND RESIDENTIAL),09/26/2008,$1200000.00,APARTMENTS,APN 1609021F,-1,Outer Richmond,,Richmond,SUPERVISORIAL DISTRICT 1,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,6,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7755402871, -122.496011)"
12/15/2015,BP ISSUED,701 SILVER AV,,Resident,,,201312043311,ERECT 3 STORY SINGLE FAMILY DWELLING.,12/04/2013,$600000.00,1 FAMILY DWELLING,APN 5896022,-1,Excelsior,,South Central,SUPERVISORIAL DISTRICT 11,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7290932789, -122.421656)"
01/03/2015,PL FILED,707 BAY SHORE BL,,CIE,2015-000063PRJ,Change of use from a vacant warehouse to a Formula Retail Furniture store.,,,01/03/2015,$0.00,,APN 5375059,0,Bayview,Bayview Hunters Point; Bayshore Boulevard,South Bayshore,SUPERVISORIAL DISTRICT 10,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",65-J,0,0,0,0,0,25447,25447,0,0,0,25447,0,-25447,0,0,0,0,0,0,0,0,0,Ashley Furniture Store,,951-894-7988,EJARDINE,"(37.7359706432, -122.406139)"
12/31/2009,BP ISSUED,71 BISHOP ST,,Resident,2006.1287,"RESIDENTIAL DEMOLITION, and construction of single family building on each lot - two residential units total.",200611036814,ERECT 3 STORIES 1 DWELLING UNIT BLDG.,10/19/2006,$350000.00,1 FAMILY DWELLING,APN 6168012,-1,Visitacion Valley,,South Central,SUPERVISORIAL DISTRICT 10,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANGELINA LIANGGARA,ANGELINA LIANGGARA,415-656-3528,BFU,"(37.7179447831, -122.404236)"
