NEIGHBORHOOD,APN,LANDUSE,BESTSTAT,BESTDATE,NAMEADDR,Alias,CASENO,DESCRIPT,BPAPPLNO,PROPUSE,DBIDESC,UNITS,UNITSNET,AFFORDABLE,AFFORDABLENET,TOTAL_GSF,NET_GSF,CIE,CIENET,MED,MEDNET,MIPS,MIPSNET,PDR,PDRNET,RET,RETNET,VISIT,VISITNET,FirstFiled,EntitledStatus,SPONSOR,CONTACT,CONTACTPH,PLANNER,SOURCE,SUPE_DIST,PLN_DISTRICT,PLN_AREA,HEIGHT,ZONING_SIM,ZONE_NAME,geography
Visitacion Valley,APN 6208056,Resident,BP ISSUED,04/25/2013,138 ALPHA ST,,2007.0234,,200806194898,1 FAMILY DWELLING,"CONSTRUCT A NEW 3 STORY, SINGLE FAMILY DWELLING.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/19/2008,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.71416638160, -122.40434886600)"
Twin Peaks,APN 2709065,Resident,BP ISSUED,05/21/2013,21 MOUNTAIN SPRING AV,,2011.1349,,201009171084,1 FAMILY DWELLING,"ERECT 3 STORIES, 1 BASEMENT, 1 UNIT BUILDING.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/17/2010,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 7,Inner Sunset,,40-X,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED","(37.75796720370, -122.44877612300)"
Inner Sunset,APN 2630017,Resident,BP ISSUED,09/25/2013,1167 STANYAN ST,,2008.0408,,200803288274,1 FAMILY DWELLING,TO ERECT SINGLE FAMILY DWELLING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/28/2008,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 5,Inner Sunset,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76294430920, -122.45256816300)"
Bayview,APN 4937018,Resident,BP ISSUED,10/22/2013,1014 GILMAN AV,,,,201209109355,1 FAMILY DWELLING,"ERECT 3-STORY, NO BASEMENT, TYPE 5 SINGLE FAMILY DWELLING.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/10/2012,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.71853919680, -122.38823257200)"
Excelsior,APN 5943050,Resident,CONSTRUCTION,01/08/2014,262 MADISON ST,,2008.1203,,200711077585,1 FAMILY DWELLING,BLDG 1 - CONSTRUCT 3 STORY SINGLE FAMILY DWELLING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/07/2007,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72575506660, -122.42281704600)"
Parkside,APN 2416002H,Resident,CONSTRUCTION,04/24/2014,422 VICENTE ST,,2007.0037,,200609132176,1 FAMILY DWELLING,"1-UNIT LEGALIZATION PER ORDINANCE 43-14. 3-BEDROOM, 1-BATHROOM, 1-FAMILY PER PA #200303119402. LEGALIZE (N) KITCHEN.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/13/2006,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 7,Inner Sunset,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.73974105100, -122.47158680200)"
Mission,APN 4145012,Resident,CONSTRUCTION,12/17/2015,2356 BRYANT ST,,,,201311273026,APARTMENTS,2 STORY REAR ADDITION. CONVERT 1ST FLOOR USABLE AREA INTO NEW RESIDENTIAL UNIT & EXPAND INTO GARAGE.,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/27/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.75664527660, -122.40981559500)"
Outer Richmond,APN 1475032,Resident,BP FILED,07/10/2015,441 43RD AV,,2015-009547PRJ,,201507101227,APARTMENTS,LEGALIZE (E) UNIT WITHIN THE ENEVOLOPE OF (E) BUILDING. TO LEGALIZE KITCHEN ON THE TOP FLOOR BY CODE,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/10/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.78036573550, -122.50443424300)"
Inner Richmond,APN 1168043,Resident,BP FILED,08/31/2015,2739 MCALLISTER ST,,2015-012083PRJ,,201508315729,APARTMENTS,CONVERT (E) 2 UNITS RESIDENTIAL BLDG INTO A 3 UNITS RESIDENTIAL WITH HORIZ. ADDITION AT THE REAR.  (,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/31/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.77510695960, -122.45719528900)"
Outer Sunset,APN 1730037,Resident,BP FILED,07/31/2015,1230 21ST AV,,2015-010694PRJ,,201507313053,2 FAMILY DWELLING,HORIZONAL ADDITION AT REAR YARD. (E) 3-STORY SINGLE FAMILY HOUSE - CONVERT TO 2-UNIT RESIDENTIAL 3-S,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/31/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 4,Outer Sunset,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.76472512280, -122.47904354600)"
Outer Sunset,APN 1890005,Resident,BP FILED,09/08/2015,1531 44TH AV,,2015-012197PRJ,,201509086337,2 FAMILY DWELLING,"ILLEGAL 2ND UNIT LEGALIZATION: ADDING FIRE RATING BTWN GARAGE & UNIT, ADD FIRE RATING @ PROP LINE WA",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/08/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 4,Outer Sunset,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.75801002310, -122.50393807700)"
Marina,APN 0482030,Resident,BP FILED,06/19/2015,1555 FRANCISCO ST,,,,201506199431,APARTMENTS,INSTALLATION OF NEW GROUND FLOOR (1 BEDROOM & 1 BATH) UNIT FOR A TOTAL OF 3 UNITS. RELOCATION OF (E),3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/19/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.80220398890, -122.43059802600)"
Outer Sunset,APN 2114022,Resident,BP FILED,09/30/2015,1988 21ST AV,,2015-013590PRJ,,201509308468,2 FAMILY DWELLING,"LEGALIZE DWELLING UNIT W/KITCHEN ON GROUND FLOOR, NEW UNIT  HAS 1 BEDROOM, FAMILY ROOM, KITCHEN, FUL",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/30/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 4,Outer Sunset,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.75064360360, -122.47810815600)"
Bayview,APN 5338025,Resident,BP FILED,09/22/2015,1780 REVERE AV,,2015-013583PRJ,,201509227704,2 FAMILY DWELLING,1) DEMOLISH EXTG STAIR. 2)REPLACE & INSTALL NEW STAIR AND LANDING COVER. 3) INSTALL NEW EXTERIOR DOO,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/22/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.73371849020, -122.39324594000)"
Ocean View,APN 7119027,Resident,BP FILED,09/23/2013,122 ARCH ST,,,,201309237536,1 FAMILY DWELLING,ERECT TWO STORY SINGLE FAMILY DWELLING.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/23/2013,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,Ingleside,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.71293772460, -122.46687710900)"
Bayview,APN 5320015,Resident,BP FILED,07/22/2013,1893 OAKDALE AV,,,,201307222452,1 FAMILY DWELLING,"TO ERECT 4 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/22/2013,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.73747661330, -122.39592648200)"
Bayview,APN 5395042,Resident,BP FILED,07/22/2015,53 LEDYARD ST,,2015-009848PRJ,,201507222196,1 FAMILY DWELLING,LEGALIZE REAR COTTAGE TO 1 LEGAL RESIDENTIAL UNIT PER ORDINANCE 43-14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/22/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.73321977870, -122.40169457500)"
Bayview,APN 5396001D,Resident,BP FILED,08/27/2015,1788 SILVER AV,,2015-011537PRJ,,201508275396,2 FAMILY DWELLING,UNIT LEGALIZATION ORD 43-14. LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT PERMIT. LEGALIZE EXISTI,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/27/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.73380475460, -122.40286105600)"
Inner Richmond,APN 1449040,Resident,BP FILED,08/13/2015,1625 CLEMENT ST,,2015-014411PRJ,,201508134169,2 FAMILY DWELLING,TO LEGALIZE THE (E) GROUND FLOOR UNIT UNDER ORDINANCE 43-14.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/13/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER","(37.78217376700, -122.47678744700)"
Russian Hill,APN 0119017,Resident,BP FILED,04/18/2014,852 GREEN ST,,,,201404183603,2 FAMILY DWELLING,"PARTIAL THIRD FLOOR ADDITION FOR 3 NEW BEDROOMS, PARTIAL FOURTH FLOOR ADDITION FOR 1 NEW FAMILY ROOM",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/18/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 3,Northeast,,40-X,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY","(37.79927114160, -122.41320631900)"
Inner Richmond,APN 1416003,Resident,BP FILED,03/26/2014,225 17TH AV,,,,201403261777,2 FAMILY DWELLING,2-STORY VERTICAL ADDITION & HORIZONTAL ADDITION AT FRONT. CONVERT SINGLE FAMILY HOME TO 2-UNIT RESID,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/26/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.78378307080, -122.47673397600)"
Noe Valley,APN 6612044,Resident,BP FILED,04/06/2015,423 28TH ST,,,,201504062885,APARTMENTS,LEGALIZE GROUND FLOOR IN-LAW APARTMENT AS PER SF ORDINANCE NO# 43-14. INSTALL FIRE SPRINKLERS TO GRO,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/06/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.74474529090, -122.43186233900)"
Marina,APN 0441B007,Resident,BP FILED,06/25/2015,3551 PIERCE ST,,,,201506259933,APARTMENTS,"4TH FL ADDITION TO 3-STORY RESIDENTIAL BLDG. WORK INCLUDES (N) STUCCO EXT TO MATCH, (N) ROOF TO MATC",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/25/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.80332205350, -122.44032809300)"
Potrero Hill,APN 4003006,Resident,CONSTRUCTION,01/14/2016,238 MISSOURI ST,,,,201310038371,APARTMENTS,"4TH STORY ADDITION, 2 STORY ADDITION W/ROOF DECK AT REAR YARD, ADDITION OF 3RD UNIT AT 1ST FLR(BASEM",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/03/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.76336608440, -122.39691503000)"
Bernal Heights,APN 6659006,Resident,CONSTRUCTION,10/05/2015,1749 DOLORES ST,,,,201312305300,2 FAMILY DWELLING,"HORIZONTAL FRONT ADDITION ON UPPER CREAT NEW 2ND DWELLING UNIT ON LOWER LEVEL, (NO INCREASE IN SQ FT",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/30/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.74162046810, -122.42384630700)"
Mission,APN 3552008,Resident,BP APPROVED,06/06/2014,1936 FOLSOM ST,,,,201311010933,2 FAMILY DWELLING,FROM SINGLE FAMILY TO MULTI FAMILY UNIT CONVERSION. RECONFIGURE 2ND STORY ENTRY. REHABILITATE 3RD FL,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/01/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),55-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.76631341840, -122.41575877700)"
Nob Hill,APN 0155021,Resident,BP FILED,08/12/2014,1370 PACIFIC AV,,2013.0884,"Demo existing structure and construct new mixed-use, commercial/residential building with parking.",201408123679,1 FAMILY DWELLING,"ERECT 4-STORY, 1 BASEMENT, SINGLE FAMILY DWELLING UNIT BUILDING.",1,1,0,0,0,252,0,0,0,0,0,0,0,0,0,252,0,0,08/12/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 3,Northeast,,40-X,NCD,PACIFIC AVENUE NEIGHBORHOOD COMMERCIAL,"(37.79568260090, -122.41776315400)"
Nob Hill,APN 0155020,Resident,BP FILED,08/12/2014,1364 PACIFIC AV,,,,201408123674,1 FAMILY DWELLING,"TO ERECT 4 STORIES, 1 BASEMENT, SINGLE FAMILY RESIDENTIAL & BUSINESS.",1,1,0,0,0,-168,0,0,0,0,0,0,0,0,0,-168,0,0,08/12/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 3,Northeast,,40-X,NCD,PACIFIC AVENUE NEIGHBORHOOD COMMERCIAL,"(37.79569077050, -122.41769908500)"
Ocean View,APN 6994039,Resident,BP FILED,07/17/2014,466 VERNON ST,,,,201407171522,2 FAMILY DWELLING,(UNIT LEGALIZATION ORD 43-14 )CONVERT (E) STORAGE SPACE IN APP #200012047067 TO A NEW KITCHEN & INST,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/17/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,Ingleside,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72088229670, -122.46778985200)"
Crocker Amazon,APN 6478031,Resident,BP ISSUED,05/15/2009,495 MORSE ST,,2008.0998,,200707096216,1 FAMILY DWELLING,ERECT A 3 STORY ONE FAMILY DWELLING UNIT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/09/2007,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.71205021050, -122.44223906300)"
Marina,APN 0539031,Resident,BP FILED,05/08/2014,2237 UNION ST,,,,201405085281,2 FAMILY DWELLING,"HORIZONTAL ADDITION & REMODEL. WK INCL ADD ELEVATOR, REBUILD IN-KIND PREVIOUSLY (E) CONICAL ROOF OVE",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/08/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,40-X,NCD,UNION STREET NEIGHBORHOOD COMMERCIAL,"(37.79671531690, -122.43617248000)"
Noe Valley,APN 6508035,Resident,BP APPROVED,04/10/2012,3933 24TH ST,,2008.0686,,200807116509,APARTMENTS,"Vert & Horizontal Addition to Exist Bldg. Addition of 1 dwelling and 2 offices; Reconfigure and remodel all existing Units; Top units to include 2 bedrooms, study and 2.5 baths 0",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/11/2008,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,NCD,24TH STREET- NOE VALLEY NEIGHBORHOOD COMMERCIAL,"(37.75126903540, -122.43043146800)"
Ocean View,APN 7147050,Resident,BP FILED,03/21/2014,177 SAGAMORE ST,,,,201403211380,1 FAMILY DWELLING,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/21/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,Ingleside,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.71112298300, -122.45828956300)"
Ocean View,APN 7085017,Resident,BP FILED,02/06/2014,119 VERNON ST,,,,201402067966,1 FAMILY DWELLING,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/06/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,Ingleside,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.71468292050, -122.46827829800)"
Excelsior,APN 5948026B,Resident,CONSTRUCTION,11/05/2015,5 NAPLES ST,,,,201402249169,1 FAMILY DWELLING,"ERECT 2-STORY, 1 BASEMENT, TYPE V, 1 DWELLING UNIT BUILDING.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72834805070, -122.42519573000)"
Excelsior,APN 5948026A,Resident,CONSTRUCTION,11/23/2015,3 NAPLES ST,,,,201402249163,1 FAMILY DWELLING,"ERECT 2-STORY, 1 BASEMENT, TYPE V, 1 DWELLING UNIT BUILDING.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72840693240, -122.42515127300)"
Marina,APN 0927036,Resident,BP ISSUED,01/06/2016,2225 BAY ST,,2015-012480PRJ,,201509156951,2 FAMILY DWELLING,"UNIT LEGALIZATION PER ORD 43-14. ALL WORK TO BE DONE @ 1ST FL REAR UNIT, RELOCATING KITCHEN, REMODEL",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/15/2015,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.80154539860, -122.44368163900)"
Castro/Upper Market,APN 2652010,Resident,PL APPROVED,07/10/2014,132 CORBETT AV,,2014.0016,Variance request to create a second dwelling unit within the rear yard requirement.,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/03/2014,-1,Jean Miu,Jeff Burris,415 336-5143,TCHANG,CASE TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76186080580, -122.44127466500)"
Western Addition,APN 1127003,Resident,BP FILED,09/15/2015,1211 SCOTT ST,,2015-012514PRJ,,201509156948,APARTMENTS,"NEW APARTMENT ADDITION IN COMPLIANCE WITH ORDINANCE 30-15, MISCELLANEOUS DECAY & WATER DAMAGE REPAIR",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/15/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 5,Western Addition,,65-A,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.78119601380, -122.43765994600)"
Castro/Upper Market,APN 2701A019,Resident,PL FILED,04/14/2014,4621 19TH ST,,2014.0543,"RENOVATION OF AN (E) SINGLE FAMILY RESIDENCE INCLUDING REAR & VERTICAL ADDITIONS, CONSTRUCTION OF SECOND UNIT OF REAR ADDITION, ASSOCIATED STRUCTURAL, MECHANICAL, ELECTRICAL, PLUMBING,LANDSCAPING.",,2 FAMILY DWELLING,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/14/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75878245800, -122.44116453100)"
Noe Valley,APN 6604026,Resident,BP FILED,05/08/2015,1507 DIAMOND ST,,,,201505085804,2 FAMILY DWELLING,(N) KITCHEN ON BASEMENT & LEGALIZE IN-LAW DWELLING UNIT UNDER ORD #43-14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/08/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.74538648680, -122.43542334500)"
Ocean View,APN 6992012,Resident,BP FILED,07/17/2014,547 VICTORIA ST,,,,201407171519,2 FAMILY DWELLING,"UNIT LEGALIZATION ORDINANCE# 4314. LEGALIZE GROUND FLOOR UNIT TO INCLUDE 2 BEDROOMS, 1 FULL BATH, 1",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/17/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,Ingleside,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72055525340, -122.46564335700)"
Inner Richmond,APN 1648012,Resident,BP FILED,09/02/2014,763 05TH AV,,,,201409025180,APARTMENTS,HORIZONTAL & VERTICAL ADDITION TO REAR OF (E) 3 STORY 2 UNIT BUILDING TO PROVIDE NEW 3RD UNIT. ADDIT,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/02/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.77441010560, -122.46306076500)"
Outer Sunset,APN 2058009J,Resident,BP FILED,09/30/2014,1822 22ND AV,,,,201409307715,2 FAMILY DWELLING,"FOR LEGALIZATION. INSTALL NEW KITCHEN CABINET, COUNTER TOP, SINK, FAUCET ELECTRIC COOK TOP, STOVE HO",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/30/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 4,Outer Sunset,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.75362702790, -122.47932532400)"
Outer Sunset,APN 1901012,Resident,CONSTRUCTION,11/12/2015,1659 42ND AV,,,,201408073330,2 FAMILY DWELLING,LEGALIZE GROUND FLOOR AREA AS 2ND UNIT  W/KITCHEN. REMOVE STAIRS & ADD HALLWAY PER PLAN.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/07/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 4,Outer Sunset,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.75576755170, -122.50162855900)"
Outer Sunset,APN 1879001A,Resident,BP ISSUED,05/15/2015,1507 33RD AV,,,,201409297547,2 FAMILY DWELLING,LEGALIZE KITCHEN AREA INSTALL UPGRADE 50 AMP FOR STOVE 2 GFCI OUTLET AND HOOD VENT TO EXTERIOR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/29/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 4,Outer Sunset,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.75894495100, -122.49213705300)"
Inner Sunset,APN 1842011,Resident,BP FILED,07/07/2014,1455 11TH AV,,,,201407070583,1 FAMILY DWELLING,REAR BLDG. LEGALIZE COTTAGE AS A SEPARATE SINGLE FAMILY DWELLING. REMOVE ONE INTERIOR DEMISHING WALL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/07/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 7,Inner Sunset,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76103267570, -122.46857690700)"
Excelsior,APN 6009040,Resident,BP ISSUED,01/11/2016,235 MADRID ST,,,,201505085846,2 FAMILY DWELLING,"LEGALIZE UNIT PER ORDINANCE NO# 43-14. 2 BEDROOMS, 2 BATHS, 1 KITCHEN & 1 LIVING ROOM.",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/08/2015,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72558714880, -122.42945616000)"
Inner Sunset,APN 1840002,Resident,BP FILED,07/01/2014,1419 FUNSTON AV,,,,201407010196,2 FAMILY DWELLING,REMODEL 2ND LEVEL & ADD 2ND UNIT ON 3RD FLOOR INCLUDING KITCHEN AND BATHROOM.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/01/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 7,Inner Sunset,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76155436780, -122.47076478500)"
Excelsior,APN 6020033A,Resident,BP ISSUED,07/24/2015,618 EXCELSIOR AV,,,,201504244599,2 FAMILY DWELLING,LEGALIZE INLAW (E) BATH RM AND (E) KITCHEN  UNIT LEGALIZATION PER ORDINANCE 43-14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/24/2015,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72362961380, -122.42860835700)"
