NEIGHBORHOOD,BLKLOT,NAMEADDR,UNITS,UNITSNET,BESTDATE,BESTSTAT,EntitlementStatus,CASENO,DESCRIPT,PLN_REVIEW,PLN_REVIEWDATE,BPAPPLNO,PROPUSE,DBIDESC,DBI_ACTION,DBI_ACTDATE,NEW_REHAB,source,TOTAL_GSF,RET,MIPS,CIE,MED,PDR,VISIT,NET_GSF,CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,FILEDATE,LANDUSE,StandardAddress,alias,Entitlement,sort,sizecat,AFFORDABLE,AFFNET,zoning_gen,ZONING_SIM,ZONINGDISTRICTNAME,HEIGHTLIMIT,SPONSOR,CONTACT,Geography
Presidio Heights,1068004,74 BLAKE ST,1,1,03/03/2015 12:00:00 AM,BP ISSUED,true,,,,,201401317585,1 FAMILY DWELLING,"TO ERECT 2 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.",ISSUED,03/03/2015,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,74 Blake St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Mixed Use,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,,,"(37.782378999999999, -122.45105700000001)"
Inner Sunset,2038A019,1758 12TH AV,1,1,08/19/2014 12:00:00 AM,BP ISSUED,true,,,,,201305298094,1 FAMILY DWELLING,ERECT 3-STORY TYPE V SINGLE FAMILY RESIDENCE.,ISSUED,08/19/2014,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1758 12th Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.755355999999999, -122.468599)"
Bernal Heights,5577011,191 BREWSTER ST,1,1,09/04/2014 12:00:00 AM,BP ISSUED,true,2009.1018,"New 2,811 sqft single-family residence on vacant lot.",CEQA,,200609253193,1 FAMILY DWELLING,"TO ERECT 4 STORIES, SINGLE FAMILY RESIDENCE.",ISSUED,09/04/2014,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/28/2009,Resident,191 Brewster St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.743184999999997, -122.40763800000001)"
Outer Mission,6959030,1927 ALEMANY BL,1,1,12/31/2013 12:00:00 AM,CONSTRUCTION,true,,,,,201012106469,1 FAMILY DWELLING,"TO ERECT 2 STORIES, SINGLE FAMILY DWELLING.",REINSPECT REQUI,12/31/2013,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1927 Alemany Blvd,,true,Construction,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.720948999999997, -122.438681)"
Bayview,5406016,220 WILLIAMS AV,1,1,12/07/2010 12:00:00 AM,BP FILED,false,2011.0201,,,,201012076279,1 FAMILY DWELLING,ERECT 3 STORIES OF 1 DWELLING UNIT.,,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,220 Williams Ave,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.730054899999999, -122.3977232)"
Noe Valley,6604011,538 28TH ST,1,1,12/09/2014 12:00:00 AM,CONSTRUCTION,true,,,,,201209190133,1 FAMILY DWELLING,"TO ERECT 3 STORIES WITH 1 BASEMENT, SINGLE FAMILY DWELLING.",OK TO POUR,12/09/2014,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,538 28th St,,true,Construction,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.745089999999998, -122.434297)"
Bayview,5336048,1911 QUESADA AV,1,1,08/08/2013 12:00:00 AM,PL FILED,false,2013.1070,"Construct two new three-story single-family homes on two vacant lots; 4,460 sf on Lot 48 and 6,020 sf on Lot 49, off-street parking for two vehicles (one on each lot); create access easement on City property.",,,200701171881,1 FAMILY DWELLING,TO ERECT 1 DWELLING UNIT WITH 3 STORY NEW BUILDING,,,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/08/2013,Resident,1911 Quesada Ave,,false,Planning Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.735792000000004, -122.39607599999999)"
Inner Sunset,2038A013,1769 11TH AV,1,1,10/07/2014 12:00:00 AM,BP ISSUED,true,2014.0059,"New construction of a three-story 4,625 sf single-family home with two parking spaces.",,,201306068876,1 FAMILY DWELLING,"TO ERECT 3 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING.",ISSUED,10/07/2014,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/08/2014,Resident,1769 11th Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.754632000000001, -122.4678138)"
Bayview,5320015,1893 OAKDALE AV,1,1,07/22/2013 12:00:00 AM,BP FILED,false,,,,,201307222452,1 FAMILY DWELLING,"TO ERECT 4 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.",,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1893 Oakdale Ave,,false,BP Filed,Single Family,0,0,Industrial,PDR-1-B,PDR LIGHT INDUSTRIAL BUFFER,40-X,,,"(37.737740000000002, -122.39563099999999)"
Western Addition,1050007,1801 SCOTT ST,1,1,12/11/2014 12:00:00 AM,BP ISSUED,true,2013.0774,Replacement of parking lot with a single family dwelling,,,201311222590,1 FAMILY DWELLING,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.",ISSUED,12/11/2014,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/11/2013,Resident,1801 Scott St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,HARVEY HACKER,HARVEY HACKER,"(37.786490999999998, -122.438602)"
Excelsior,5991004,308 UNIVERSITY ST,1,1,08/06/2014 12:00:00 AM,BP REINSTATED,true,,,,,201407302512,1 FAMILY DWELLING,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.",REINSTATED,08/06/2014,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,308 University St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.726033000000001, -122.41394099999999)"
Ocean View,7147050,177 SAGAMORE ST,1,1,03/21/2014 12:00:00 AM,BP FILED,false,,,,,201403211380,1 FAMILY DWELLING,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155",,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,177 Sagamore St,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.711131999999999, -122.457944)"
Ocean View,7173011,60 SANTA BARBARA AV,1,1,08/28/2014 12:00:00 AM,PL FILED,false,2014.1477,Construct three-story single-family residence on vacant lot.,,,201404173481,1 FAMILY DWELLING,"ERECT 3-STORY, TYPE 5, NO BASEMENT, SINGLE FAMILY DWELLING UNIT BLDG.",,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/28/2014,Resident,60 Santa Barbara Ave,,false,Planning Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.708469000000001, -122.464483)"
Haight Ashbury,1183010,601 BRODERICK ST,1,1,01/08/2013 12:00:00 AM,PL APPROVED,true,2012.0871,"Change of use, converting from church to single family dwelling with interior remodeling.",APPR/WC,01/08/2013,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,-4085,-4085,0,0,0,0,0,07/10/2012,Resident,601 Broderick St,,true,PL Approved,Single Family,0,0,Residential,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,Roman Rettner,Roman Rettner,"(37.775837000000003, -122.439975)"
Excelsior,5991003,306 UNIVERSITY ST,1,1,08/06/2014 12:00:00 AM,BP REINSTATED,true,,,,,201407302511,1 FAMILY DWELLING,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.",REINSTATED,08/06/2014,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,306 University St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.726058000000002, -122.413951)"
Noe Valley,6611014,538 VALLEY ST,1,1,12/19/2007 12:00:00 AM,BP FILED,false,,,,,200712190876,1 FAMILY DWELLING,ERECT A NEW 3 STORY ONE FAMILY DWELLING UNIT WITH BASEMENT,,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,538 Valley St,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.744222999999998, -122.43407999999999)"
Financial District,3722367,151 THIRD ST,0,0,03/30/2015 12:00:00 AM,CONSTRUCTION,true,2009.0291,"Expansion of SFMOMA to SE with 40,000-sf gallery wing at Natoma Street, acquisition and replacement of Heald College building on Howard Street with 62,000-sf new construction for back-of-house and admin functions, vacation of portion of Hunt Alley, and a",APPROVED WITH C,07/11/2012,201211093897,MUSEUM,,"ROUGH FRAME, PA",03/30/2015,N,CASE TRACKING,298378,0,0,298378,0,0,0,66685,101710,0,-35025,0,0,0,04/09/2009,CIE,151 3rd St,,true,Construction,NA,0,0,Commercial,C-3-O,DOWNTOWN- OFFICE,500-I,Ikuko Satoda,Joel Roos,"(37.785935700000003, -122.40076120000001)"
Bayview,5262004,2095 JERROLD AVE,0,0,03/26/2010 12:00:00 AM,PL APPROVED,true,2009.1153,A master planned expansion and retention of the SF Wholesall Produce Market.  This project will be implemented in phases,Approved,03/26/2010,,,,,,N,CASE TRACKING,464553,4000,85472,0,0,375081,0,127779,0,0,47468,78811,1500,0,12/18/2009,PDR,2095 Jerrold Ave,,true,PL Approved,NA,0,0,Industrial,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",65-J,Michael  Janis,Michael  Janis,"(37.743995499999997, -122.3986821)"
Inner Richmond,1439021,4334 GEARY BL,0,0,10/03/2013 12:00:00 AM,BP APPROVED,true,2010.1011,Demo/Ne Construction.  Parking Variance,,,201010042197,OFFICE,"ERECT 4 STORIES, TYPE 5, MEDICAL/OFFICE BUILDING.",APPROVED,10/03/2013,N,CASE TRACKING,9515,0,9515,0,0,0,0,4609,0,0,9515,0,-4906,0,11/09/2010,MIPS,4334 Geary Blvd,,true,BP Approved/Issued/Re-Instated,NA,0,0,Mixed Use,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,Bill Pashelinsky,Bill Pashelinsky,"(37.780969800000001, -122.4660075)"
Chinatown,0258033,500 PINE ST,0,0,10/01/2014 12:00:00 AM,BP ISSUED,true,2000.539,"On a vacant 13,800-sq.-ft. site, construction of a five-story, 61-ft. high office building w/ 11,220 sq. ft. of ground floor retail, 45,610 sq. ft. of office space and one subsurface level of parking w/ 39 spaces, and under the basement parking level wou",Approved,03/15/2001,200011024683,OFFICE,,ISSUED,10/01/2014,,CASE TRACKING,54066,8532,45534,0,0,0,0,54066,0,0,45534,0,8532,0,11/29/2000,MIPS,500 Pine St,,true,BP Approved/Issued/Re-Instated,NA,0,0,Commercial,C-3-O,DOWNTOWN- OFFICE,300-S,Pine & Ke,Pine & Ke,"(37.791915000000003, -122.40460299999999)"
Downtown/Civic Center,0327011,72 ELLIS ST,0,0,03/25/2010 12:00:00 AM,PL APPROVED,true,2009.1105,"Extension of entitlements (Case Nos. 200.383CX and 2004.1047CX) for demolition of an existing surface parking lot and construction of an 11-story, 156 room hotel with ground floor retail.",Approved,03/25/2010,,,,,,,CASE TRACKING,79054,2500,0,0,0,0,76554,79054,0,0,0,0,2500,76554,12/02/2009,Visitor,72 Ellis St,,true,PL Approved,NA,0,0,Commercial,C-3-R,DOWNTOWN- RETAIL,80-130-F,Walter Le,Chris Fol,"(37.785798999999997, -122.407442)"
Financial District,3723115,770 FOLSOM ST,0,0,06/23/2014 12:00:00 AM,BP FILED,true,2013.0154,"The proposed Moscone Center Expansion Project would increase the size of the convention center facility by about 22.33 percent, from approximately 945,200 gsf to 1,156,300 gsf, and through renovation and repurposing of the existing facility, the Project",Approved,09/03/2014,201406239136,AMUSEMENT CENTER,"RENOVATION OF EXISTING MOSCONE NORTH & SOUTH BLDG, INCREASE THE GROSS SQUARE FOOTAGE OF THE MOSCONE",,,R,CASE TRACKING,3071,3071,0,0,0,0,0,3071,0,0,0,0,3071,0,07/10/2014,Retail/Ent,770 Folsom St,,true,BP Filed,NA,0,0,Commercial,C-3-S,DOWNTOWN SUPPORT,340-I,Adam Van De Water,Adam Van De Water,"(37.782737500000003, -122.4003232)"
Visitacion Valley,5087003,SCHLAGE,0,1679,08/05/2014 12:00:00 AM,PL APPROVED,false,2014.1140,"Schlage Lock Project Tentative Subdivision Map #7182 for the development of up to 1,679 dwelling units and up to 20 commercial condominium units over 13 lots, together with parks, open spaces, pedestrian pathways and public streets.",Approved,08/05/2014,,,,,,N,manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/22/2014,Mixres,2201 Bayshore Blvd,Schlage Lock,false,PL Approved,Above 250,0,0,Mixed Use,MUG/P,MIXED USE-GENERAL/PUBLIC,86-X/40-X/45-X/57-X/68-X/76-X/OS,,,"(37.70984, -122.40311)"
Crocker Amazon,6439019,59 WINDING WY,0,-1,09/02/2014 12:00:00 AM,CONSTRUCTION,true,,,,,201407282278,DAY CARE HOME LT 7,REVISION TO APPL #2014.0428.4332: CHANGE FROM CURRENT USE RESIDENTIAL HOME TO RESIDENTIAL CARE FACIL,ROUGH FRAME,09/02/2014,R,PERMIT TRACKING,1638,0,0,1638,0,0,0,1638,1638,0,0,0,0,0,,CIE,59 Winding Way,,true,Construction,NA,0,0,Residential,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",40-X,,,"(37.710479999999997, -122.432433)"
South of Market,3794015,101 TOWNSEND ST,0,0,10/06/2014 12:00:00 AM,BP FILED,false,2014-002385PRJ,Office Allocation to change use from vacant industrial (currently used as office and retail with pending LoD) to office with retail at ground floor.,,,201410068158,OFFICE,"1ST FLOOR - CHANGE USE AND T.I. IMPROVEMENT INCLUDE TEH NON-STRUCTURAL PARTITIONS, CEILINGS, LIGHTING AND FINISHES. ALL NEW HVAC TIED TO BASE BUILDING SYSTEM. ELECTRICAL, PLUMBING AND LIFE SAFETY UNDER SEPARATE PERMIT. MAHER N/A.",,,R,CASE TRACKING,1600,0,0,1600,0,0,0,1600,1600,0,0,0,0,0,12/04/2014,Mixed,101 Townsend St,,false,BP Filed,NA,0,0,Mixed Use,MUO,MIXED USE-OFFICE,105-F,ASD,,"(37.78022, -122.39053)"
South of Market,3750079,633 FOLSOM ST,0,0,10/08/2014 12:00:00 AM,PL FILED,false,2014.1063,"The proposed project is to construct a four-story addition, containing 93,852 square feet of office uses, to an existing seven-story building containing 174,693 square feet of office uses and 1,100 square feet of ground-floor retail uses. The ground-floo",,,,,,,,N,CASE TRACKING,267865,3368,264497,0,0,0,0,92072,0,0,89804,0,2268,0,10/08/2014,MIPS,633 Folsom St,,false,Planning Filed,NA,0,0,Commercial,C-3-S,DOWNTOWN SUPPORT,200-S,Deborah Boyer,John Kevlin,"(37.784471206799999, -122.397181491)"
Bayview,5431A014,400 PAUL AV,0,0,09/11/2014 12:00:00 AM,PL APPROVED,false,2011.0408,"To construct a 2-story, 171,000 sq. ft. data center as well as renovation of the 12,560 sq. ft. existing building at 320 Paul Avenue. The project will require demolition of 350 Paul and 400 Paul Avenue, both are vacant warehouses. The owners had previous",,,200411239912,PHONE XCHNGE/EQUIP,,,,,CASE TRACKING,183560,0,0,0,0,183560,0,32800,0,0,0,32800,0,0,12/08/2011,PDR,400 Paul Ave,,false,PL Approved,NA,0,0,Industrial,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",65-J,The Camba,The Camba,"(37.72475, -122.39876)"
South of Market,8722001,GSW EVENT CENTER & MIXED USE DEVELO,0,0,12/12/2014 12:00:00 AM,PL FILED,false,2014.1441,"GSW Arena LLC (GSW), an affiliate of Golden State Warriors, LLC, which owns and operates the Golden State Warriors National Basketball Association (NBA) team, proposes to construct a multi-purpose event center and a variety of mixed uses, including offic",,,,,,,,,CASE TRACKING,710486,0,0,710486,0,0,0,710486,710486,0,0,0,0,0,05/19/2014,Mixed,5 South St,,false,Planning Filed,NA,0,0,Mixed Use,MB-RA,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN,MB-RA,BAY JACARANDA NO 2932 LLC,,"(37.76782, -122.38762)"
Mission,3615026,2525 MISSION ST,0,0,08/26/2009 12:00:00 AM,BP ISSUED,false,2003.0159,"The project is to demolish the existing single-story retail building and construct a new building that would be three-stories tall and would contain retail on the ground floor and offices on the second and third floors.
6/15/05 - Environmental Exemption",,,200302218059,OFFICE,ERECT A 3 STORY COMMERCIAL SHOP & OFFICE,,,,CASE TRACKING,6999,2000,4999,0,0,0,0,6999,0,0,4999,0,2000,0,08/07/2003,Mixres,2525 Mission St,,false,BP Approved/Issued/Re-Instated,NA,0,0,Neighborhood Commercial,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,65-B,Ernest Sh,Ken Donne,"(37.756599999999999, -122.41852)"
Bayview,4792029,1212 THOMAS AV,0,0,07/23/2008 12:00:00 AM,BP FILED,false,,,,,200807237371,"WAREHOUSE,NO FRNITUR","ERECT A SINGLE STORY COMMERCIAL BUILDING(OFFICE & WAREHOUSE)WITH APPROX. 30,000 SQUARE FEET AT 24' H",,,,BLDG PERMIT,30000,0,5000,0,0,25000,0,30000,0,0,5000,25000,0,0,,PDR,1212 Thomas Ave,,false,BP Filed,NA,0,0,Industrial,PDR-1-B,PDR LIGHT INDUSTRIAL BUFFER,40-X,,,"(37.726506000000001, -122.38410399999999)"
Bayview,5253001,1601 GALVEZ AV,0,0,12/06/2012 12:00:00 AM,BP ISSUED,true,,,,,201209119461,OFFICE,"TO ERECT 2 STORIES, TYPE 3, WAREHOUSE/OFFICE NEW BUILDING.",ISSUED,12/06/2012,N,PERMIT TRACKING,7200,0,0,0,0,7200,0,3600,0,0,0,3600,0,0,,PDR,1601 Galvez Ave,,true,BP Approved/Issued/Re-Instated,NA,0,0,Industrial,PDR-1-B,PDR LIGHT INDUSTRIAL BUFFER,40-X,,,"(37.7406978, -122.3880638)"
Outer Sunset,2094005,3223 ORTEGA ST,0,0,05/20/2011 12:00:00 AM,CONSTRUCTION,true,2008.0434,"Demolish most of the existing library, move the site closer to Ortega Street, and build a new approximately 8,500 sq.ft. single story library in a P zone with an OS land designation.",Approved,,200810245075,LIBRARY,CONSTRUCTION OF A NEW ONE STORY WOOD FRAME NON-RATED BRANCH LIBRARY.,FLUES/VENTS/DUC,05/20/2011,N,PERMIT TRACKING,8500,0,0,8500,0,0,0,8500,8500,0,0,0,0,0,09/03/2008,CIE,3223 Ortega St,,true,Construction,NA,0,0,Public,P,PUBLIC,40-X,,,"(37.751406699999997, -122.49801859999999)"
Financial District,0238002,300 CALIFORNIA ST,0,0,12/05/2013 12:00:00 AM,PL APPROVED,true,2012.0605,Vertical addition of 4 floors of office to an existing 8 story office building.  The existing rooftop penthouse will be removed.  Existing basement parking and ground-floor retail uses would remain.  Publicly accessible open space would be provided at a,Approved,12/05/2013,,,,,,R,CASE TRACKING,177255,11412,165843,0,0,0,0,58582,0,0,58582,0,0,0,09/12/2012,MIPS,300 California St,,true,PL Approved,NA,0,0,Commercial,C-3-O,DOWNTOWN- OFFICE,400-S,Tracy Zill,,"(37.793349300000003, -122.4004225)"
Bayview,4912001,2824 JENNINGS ST,0,0,08/14/2014 12:00:00 AM,PL FILED,false,2014.0954,"Demolish 7 PDR buildings, adjust lot lines, and construct 2 PDR buildings.",,,,APARTMENTS,,,,,PERMIT TRACKING,53500,0,0,0,0,53500,0,528,0,0,0,528,0,0,08/14/2014,PDR,2824 Jennings St,,false,Planning Filed,NA,0,0,Industrial,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",40-X,,,"(37.722549999999998, -122.39292500000001)"
Bayview,5576001,280 BAY SHORE BL,0,0,03/11/2009 12:00:00 AM,BP FILED,false,,,,,200903113911,FILLING/SERVICE STN,ERECT A 1 STORY BIOFUEL PRODUCTION & SALES BUILDING.,,,N,PERMIT TRACKING,6000,1000,0,0,0,5000,0,6000,0,0,0,5000,1000,0,,PDR,280 Bay Shore Blvd,,false,BP Filed,NA,0,0,Industrial,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",40-X,,,"(37.743577000000002, -122.404931)"
South of Market,3774026,270 BRANNAN ST,0,0,04/01/2015 12:00:00 AM,CONSTRUCTION,true,2012.0799,"Demolition of existing building on lot and construction of a new six-story commercial office building containing approximately 189,000 square feet of office uses and an approximately 13,000 square foot sub-grade parking garage containing 16 off-street pa",Approved,08/19/2013,201312174402,OFFICE,"TO ERECT 7 STORIES, 1 BASEMENT, OFFICE, PARKING, ASSEMBLY BUILDING.",REINFORCING STE,04/01/2015,N,CASE TRACKING,171650,0,171650,0,0,0,0,154300,0,0,154300,0,0,0,08/28/2012,MIPS,270 Brannan St,,true,Construction,NA,0,0,Mixed Use,MUO,MIXED USE-OFFICE,65-X,c/o John Ramsbacher,c/o Dan Kingsley,"(37.782934699999998, -122.3917304)"
Mission,3532091,245 VALENCIA ST,0,0,12/09/2014 12:00:00 AM,CONSTRUCTION,true,2010.0681,The project proposes to construct a new Church at the subject site including a below grade off-street parking structure.,APPR/WC,09/22/2011,201008038065,CHURCH,,REINFORCING STE,12/09/2014,N,CASE TRACKING,50431,0,0,50431,0,0,0,13256,13256,0,0,0,0,0,08/12/2010,CIE,245 Valencia St,,true,Construction,NA,0,0,Mixed Use,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,50-X,John Goldman,John Goldman,"(37.768777, -122.421806)"
Western Addition,0654001F,2429 CALIFORNIA ST,0,0,08/23/2007 12:00:00 AM,BP FILED,false,,,,,200708230748,RETAIL SALES,"Site Permit. One story vertical addition over existing stucture, and one story horizontal addition to the rear for 2 retail spaces on the 1st floor, and 2 new office spaces on (n) 2nd floor.",,,,CASE TRACKING,5566,3552,2014,0,0,0,0,3553,0,0,2014,0,1539,0,,Mixed,2429 California St,,false,BP Filed,NA,0,0,Mixed Use,NCD,UPPER FILLMORE NEIGHBORHOOD COMMERCIAL DISTRICT,40-X,Christine Louie,Christine Louie,"(37.788742399999997, -122.4343612)"
Western Addition,1051034,2320 SUTTER ST,0,0,03/27/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201310038416,CLINICS-MEDIC/DENTAL,"TO ERECT 3 STORIES, NO BASEMENT, MEDICAL OFFICE. (REAR BLDG).",ROUGH FRAME,03/27/2015,N,PERMIT TRACKING,20000,0,0,0,20000,0,0,11132,0,20000,-8868,0,0,0,,MED,2320 Sutter St,,true,Construction,NA,0,0,Mixed Use,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,,,"(37.785468000000002, -122.43844900000001)"
Bayview,5230007,2230 JERROLD AV,0,0,07/31/2014 12:00:00 AM,PL FILED,false,2014.1187,"Construct new 1,806 sf auto repair garage in rear of existing PDR site.",,,,,,,,N,CASE TRACKING,36851,0,0,0,0,36851,0,1806,0,0,0,1806,0,0,07/31/2014,PDR,2230 Jerrold Ave,,false,Planning Filed,NA,0,0,Industrial,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",65-J,Jeremy  Schaub,Jeremy  Schaub,"(37.745305999999999, -122.400971)"
Financial District,3735063,222 02ND ST,0,0,03/31/2015 12:00:00 AM,CONSTRUCTION,true,2006.1106,"Amend previous Motion No. 18168 (Case No. 2006.1106X) to grant new exceptions related to bulk and separation of towers, in response to revised tower design/configuration. The amended project would not increase the gross floor area of the building. | The",,,200711309386,OFFICE,"Construction of 25 stories office building with public assembly, food/beverage handling,retail sales",CEILING INSPECT,03/31/2015,,CASE TRACKING,435650,5000,430650,0,0,0,0,435650,0,0,430650,0,5000,0,01/08/2013,MIPS,222 02nd St,,true,Construction,NA,0,0,Commercial,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),350-S,Priority,Priority,"(37.786450000000002, -122.39806900000001)"
Bayview,5231002B,1995 EVANS AV,0,0,03/21/2013 12:00:00 AM,PL FILED,false,2013.0342,"The proposed project includes demolition of three existing buildings on the site (approximately 39,800 sf) and consturction of a new four-story, 65-foot tal, 105,150 sf building containing the San Francisco Police Department Forsenic Service Division and",,,,,,,,N,CASE TRACKING,105150,0,105150,0,0,0,0,65350,0,0,105150,-39800,0,0,03/21/2013,MIPS,1995 Evans Ave,,false,Planning Filed,NA,0,0,Industrial,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",80-E,John T. Matthies,John T. Matthies,"(37.746713, -122.39591799999999)"
Western Addition,0676009,1834 SUTTER ST,0,0,10/16/2014 12:00:00 AM,PL APPROVED,true,2013.0419,Construct new building on current school playard area; consolidate the school operations by moving from the Bush St facility into the new proposed building.,Approved,10/16/2014,,,,,,N,CASE TRACKING,17816,0,0,17816,0,0,0,9843,9843,0,0,0,0,0,04/05/2013,CIE,1834 Sutter St,,true,PL Approved,NA,0,0,Residential,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",40-X,Cathy Inamasu,Cathy Inamasu,"(37.786701999999998, -122.43067499999999)"
Bayview,4851017,1313 ARMSTRONG AV,0,0,11/27/2012 12:00:00 AM,BP FILED,false,,,,,201211274877,"WAREHOUSE, FURNITURE",TO ERECT ONE STORY PRODUCT PACKAGING BUILDING W/ PARKING.,,,N,PERMIT TRACKING,1355,0,0,0,0,1355,0,1355,0,0,0,1355,0,0,,PDR,1313 Armstrong Ave,,false,BP Filed,NA,0,0,Industrial,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",40-X,,,"(37.723078999999998, -122.38752599999999)"
Inner Sunset,1732043,1759 LINCOLN WY,0,0,06/20/2013 12:00:00 AM,PL APPROVED,true,2011.0099,Demolish exiting service station building of approx. 2350 square feet and reconstruct a new building of approx. 3700 square foot building containing a convenience store and automatic car wash. Alterations to the existing pumps and tanks is not proposed.,Approved,06/20/2013,,,,,,N,CASE TRACKING,3700,3700,0,0,0,0,0,1100,0,0,0,0,1100,0,02/03/2011,Retail/Ent,1759 Lincoln Way,,true,PL Approved,NA,0,0,Residential,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",40-X,Ahmad Mohazab,Ahmad Mohazab,"(37.765199000000003, -122.476889)"
